Book Name,Author,Rating,Number of Reviews,Price
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,4.6,2166.0,1172
Self Discipline: The Spartan and Special Operations Way to Mastering Yourself,Ryan Hunt,4.1,66.0,501
The Greatest Salesman in the World,Og Mandino,4.4,2296.0,377
Feel Free: Essays,Zadie Smith,4.5,96.0,820
Sidney Sheldon's Angel of the Dark,Sidney Sheldon,4.4,561.0,12356
"Mind Mapping: Improve Memory, Concentration, Communication, Organization, Creativity, and Time Management",Kam Knight,4.2,155.0,668
The Music Coming from the House,Paulo Coelho,4.0,2.0,0
Mrs. Dalloway,Virginia Woolf,4.2,880.0,668
Chaos Is the Very Nature of the Mind,OSHO,-1,,167
The Gruffalo,Julia Donaldson,4.8,7270.0,323
The Defining Decade: Why Your Twenties Matter and How to Make the Most of Them Now,Meg Jay,4.7,1746.0,569
Accidentally Cupid: A Romantic Comedy Novel,Prachi Gupta,4.3,283.0,668
Private Delhi,James Patterson,4.3,250.0,683
The Jungle Book [Russian Edition],Rudyard Kipling,4.3,2658.0,234
Siege and Storm,Leigh Bardugo,4.6,25.0,836
"The Dark Prophecy: The Trials of Apollo, Book 2",Rick Riordan,4.7,2146.0,888
The White Castle,Orhan Pamuk,4.0,47.0,759
Never Eat Alone (Live),Keith Ferrazzi,4.2,378.0,304
The Comic Book Mystery: The Boxcar Children Mysteries,Gertrude Chandler Warner,4.7,4.0,284
Endymion,John Keats,-1,,430
The Dhoni Touch,Bharat Sundaresan,4.5,271.0,879
Buddhist Tantra: Teachings and Practices for Touching Enlightenment with the Body,Reginald A. Ray,4.6,5.0,1477
MS - Vazhve Sangeetham,Revathy Sankkaran,-1,,468
Quantum Memory: Learn to Improve Your Memory with The World Memory Champion!,Dominic O'Brien,4.2,54.0,1439
"Only Time Will Tell: Clifton Chronicles, Book 1",Jeffrey Archer,4.3,6938.0,323
A Monk's Guide to a Clean House and Mind,Shoukei Matsumoto,4.3,312.0,615
The Whistling Schoolboy and Other Stories of School Life,Ruskin Bond,4.6,146.0,233
Public Speaking for Success,Dale Carnegie,4.4,96.0,703
Cultivating an Unshakable Character: How to Walk Your Talk All the Way to the Top,Jim Rohn,-1,,1439
"Venture Deals, Third Edition: Be Smarter Than Your Lawyer and Venture Capitalist",Brad Feld,4.6,143.0,668
"Angel: How to Invest in Technology Startups - Timeless Advice from an Angel Investor Who Turned $100,000 into $100,000,000",Jason Calacanis,4.8,324.0,10873
"AI for Marketing and Product Innovation: Powerful New Tools for Predicting Trends, Connecting with Customers, and Closing Sales",A.K. Pradeep,3.8,20.0,586
The Story of My Assassins,Tarun J. Tejpal,3.9,27.0,1289
The Spiritual Brain: Science and Religious Experience,Andrew Newberg,-1,,1171
The Ultimate Guide to 21st Century Careers,Richa Dwivedi,3.9,37.0,836
The Lost Decade,Pooja Mehra,4.1,45.0,879
The Spiritual Brain: Science and Religious Experience,Andrew Newberg,-1,,1171
The Ultimate Guide to 21st Century Careers,Richa Dwivedi,3.9,37.0,836
The Lost Decade,Pooja Mehra,4.1,45.0,879
"Tripwire: Jack Reacher, Book 3",Lee Child,4.5,5804.0,1093
The Ultimate Self-Discipline Library: How to Eliminate Excuses and Take Charge of Your Life!,Larry Winget,-1,,2008
The Now Habit,Neil Fiore Ph.D.,4.3,8.0,703
Prediction Machines: The Simple Economics of Artificial Intelligence,Ajay Agrawal,4.5,222.0,668
Design Systems Handbook,Marco Suarez,-1,,233
"The Way of the Iceman: How the Wim Hof Method Creates Radiant, Longterm Health",Wim Hof,4.5,303.0,233
It Starts with Clients: Your 100-Day Plan to Build Lifelong Relationships and Revenue,Andrew Sobel,4.9,40.0,586
Ca$hvertising: How to Use More Than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone,Drew Eric Whitman,4.8,496.0,468
Operation Paperclip: The Secret Intelligence Program that Brought Nazi Scientists to America,Annie Jacobsen,4.6,648.0,500
Summary of the Power of Positive Thinking. A Practical Guide to Mastering the Problems of Everyday Living,Sapiens Editorial,-1,,166
"Computer Programming: The Bible: Learn from the basics to advanced of Python, C, C++, C#, HTML Coding, and Black Hat Hacking Step-by-Step in No Time!",CyberPunk Architects,3.6,22.0,501
A Walk to Remember,Nicholas Sparks,4.5,1739.0,469
A Little History of Philosophy,Nigel Warburton,4.7,236.0,569
How to Be a Great Boss,Gino Wickman,4.5,120.0,703
Hunted by the Sky,Tanaz Bhathena,4.6,33.0,1055
Say What You Mean: A Mindful Approach to Nonviolent Communication,Oren Jay Sofer,4.7,175.0,1005
The Pomodoro Technique: The Life-Changing Time-Management System,Francesco Cirillo,4.4,10.0,615
"The Ruins of Gorlan: Ranger's Apprentice, Book 1",John Flanagan,4.7,1123.0,702
Constitutional Grounds for Presidential Impeachment,The Majority Staff of the House Committee on the Judiciary -- 116th Congress (1st Session),5.0,1.0,0
Handyman: Gay Romance,Claire Thompson,4.0,48.0,569
Quiet Leadership: Six Steps to Transforming Performance at Work,David Rock,4.5,195.0,10378
First-Time Mom: Getting Off on the Right Foot from Birth to First Grade,Kevin Leman,4.5,30.0,633
The Little Book of Behavioral Investing: How Not to Be Your Own Worst Enemy,James Montier,4.3,173.0,791
Neurosis and Human Growth: The Struggle toward Self-Realization,Karen Horney MD,3.9,4.0,759
Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company - and Revolutionized an Industry,Marc Benioff,4.5,189.0,668
The Seep,Chana Porter,4.2,24.0,680
"Stock Market Investing for Beginners: The Easiest Guide to Learn the Basics of the Stock Market, Start Creating Your Wealth and Pursue Financial Freedom with Proven Strategies",James Johnson,4.4,8.0,501
Out of the Shadows: Understanding Sexual Addiction,Patrick Carnes,4.4,363.0,703
The Guiding Light: A Selection of Quotations from My Favourite Books,A. P. J. Abdul Kalam,4.5,30.0,233
Out of the Shadows: Understanding Sexual Addiction,Patrick Carnes,4.4,364.0,703
The Guiding Light: A Selection of Quotations from My Favourite Books,A. P. J. Abdul Kalam,4.5,30.0,233
The Case Against Reality: Why Evolution Hid the Truth from Our Eyes,Donald Hoffman,4.2,259.0,837
The Partner,John Grisham,4.4,1470.0,410
"The Alchemyst: The Secrets of the Immortal Nicholas Flamel, Book 1",Michael Scott,4.6,815.0,1005
"How to Travel the World for Free: One Man, 150 Days, Eleven Countries, No Money!",Michael Wigge,4.0,9.0,668
Absolute Power,David Baldacci,4.5,1527.0,323
The Man from St Petersburg,Ken Follett,4.3,1190.0,323
Reasons to Stay Alive,Matt Haig,4.6,2967.0,683
"The Feynman Lectures on Physics: Volume 2, Advanced Quantum Mechanics",Richard P. Feynman,5.0,1.0,938
"Secret of the Red Arrow: Hardy Boys Adventures, Book 1",Franklin W. Dixon,4.0,28.0,305
"Calling in ""The One"": 7 Weeks to Attract the Love of Your Life",Katherine Woodward Thomas,4.5,915.0,1005
"Confucius, Buddha, Jesus, and Muhammad",Mark W. Muesse,-1,,1405
You Are the Placebo Meditation 2: Changing One Belief and Perception,Dr. Joe Dispenza,4.4,132.0,352
"Finish What You Start: The Art of Following Through, Taking Action, Executing, & Self-Discipline",Peter Hollins,4.4,303.0,233
How to Be a High School Superstar: A Revolutionary Plan to Get into College by Standing Out (Without Burning Out),Cal Newport,4.3,102.0,586
Disciplined Entrepreneurship,Bill Aulet,4.6,320.0,703
Musashi,Eiji Yoshikawa,4.8,670.0,1758
Karma Sutra: Cracking the Karmic Code,Hingori,4.2,76.0,501
Conversations with Friends,Sally Rooney,4.3,2491.0,713
The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,4.6,507.0,683
"Buddha the First Quantum Physicist: Bridging 2500 Years, Buddha and Albert Einstein Speak the Same Language",OSHO,5.0,1.0,134
"The 91-Storey Treehouse: The Treehouse, Book 7",Andy Griffiths,4.8,263.0,323
Digital Transformation: Survive and Thrive in an Era of Mass Extinction,Thomas M. Siebel,4.6,174.0,1003
Andhere Mein Ek Chehra [A Face in the Dark],Ruskin Bond,-1,,668
Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier,4.9,360.0,820
"The Law of Success: Using the Power of Spirit to Create Health, Prosperity, and Happiness",Paramahansa Yogananda,4.4,79.0,234
"The Feynman Lectures on Physics: Volume 18, Feynman on Flow",Richard P. Feynman,-1,,938
The Story of Atlantis and the Lost Lemuria,W. Scott Elliot,-1,,1055
"ColdFusion Presents: New Thinking: From Einstein to Artificial Intelligence, the Science and Technology That Transformed Our World",Dagogo Altraide,4.7,134.0,586
Literary Theory: The Pocket Essential Guide,David Carter,3.4,4.0,266
Mengele: The Complete Story,Gerald Posner,4.2,207.0,703
Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier,4.9,362.0,820
"The Law of Success: Using the Power of Spirit to Create Health, Prosperity, and Happiness",Paramahansa Yogananda,4.4,79.0,234
The Story of Atlantis and the Lost Lemuria,W. Scott Elliot,-1,,1055
"ColdFusion Presents: New Thinking: From Einstein to Artificial Intelligence, the Science and Technology That Transformed Our World",Dagogo Altraide,4.7,134.0,586
Literary Theory: The Pocket Essential Guide,David Carter,3.4,4.0,266
Mengele: The Complete Story,Gerald Posner,4.2,207.0,703
Catch 22,Joseph Heller,4.2,2397.0,93
How Al-Anon Works for Families and Friends of Alcoholics,Al-Anon Family Groups,4.7,191.0,836
A Life of J.R.D. – Beyond the Last Blue Mountain,R M Lala,-1,,75
Small Is Beautiful: A Study of Economics as If People Mattered,E. F. Schumacher,4.6,170.0,752
How to Be a No-Limit Person,Wayne W. Dyer,3.9,15.0,1003
Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,4.6,2.0,668
Living a Feminist Life,Sara Ahmed,4.7,71.0,938
The Bromance Book Club,Lyssa Kay Adams,4.4,456.0,1005
Prepared: What Kids Need for a Fulfilled Life,Diane Tavenner,4.4,168.0,879
What I Learned Losing a Million Dollars,Jim Paul,4.4,280.0,668
Camilla Thurlow: Audible Sessions: Free Exclusive Interview,Holly Newson,-1,,0
Creative Visualization Meditations,Shakti Gawain,4.7,508.0,300
"The Feynman Lectures on Physics: Volume 16, Feynman on Electromagnetism",Richard P. Feynman,-1,,938
"Return of a King: The Battle for Afghanistan, 1839-42",William Dalrymple,4.6,544.0,1003
"Why We Buy, Updated and Revised Edition: The Science of Shopping",Paco Underhill,4.3,260.0,773
Healing Through Past-Life Regression...and Beyond,Mira Kelley,4.3,45.0,468
Exploring Vibrational Medicine,Richard Gerber,5.0,8.0,702
Sorry Not Sorry,Sophie Ranald,4.3,1847.0,645
The Holy Spirit: Activating God's Power in Your Life,Billy Graham,4.8,468.0,844
The Incredible Banker,Ravi Subramanian,4.1,85.0,668
Cybersecurity Program Development for Business: The Essential Planning Guide,Chris Moschovitis,4.7,15.0,586
Babu Bangladesh!,Numair Atif Choudhury,4.3,10.0,836
Wayne Dyer's Ultimate Library,Wayne Dyer,-1,,2008
The Picture of Dorian Gray,Oscar Wilde,4.4,3564.0,569
The Porn Myth: Exposing the Reality Behind the Fantasy of Pornography,Matt Fradd,4.8,102.0,703
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,1221.0,501
Cybersecurity Program Development for Business: The Essential Planning Guide,Chris Moschovitis,4.7,15.0,586
Babu Bangladesh!,Numair Atif Choudhury,4.3,10.0,836
Wayne Dyer's Ultimate Library,Wayne Dyer,-1,,2008
The Picture of Dorian Gray,Oscar Wilde,4.4,3564.0,569
The Porn Myth: Exposing the Reality Behind the Fantasy of Pornography,Matt Fradd,4.8,102.0,703
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,1221.0,501
The Ultimate X-Men,Stan Lee,5.0,3.0,703
In Shock,Dr Rana Awdish,4.7,400.0,683
"When I Stop Talking, You'll Know I'm Dead: Useful Stories from a Persuasive Man",Jerry Weintraub,4.6,361.0,500
Rich Dad Advisors: Stock Market Cash Flow,Andy Tanner,4.5,213.0,500
Warbreaker,Brandon Sanderson,4.6,1423.0,987
Infinity Blade: Awakening,Brandon Sanderson,4.3,356.0,586
All the Bright Places: Movie Tie-In Edition,Jennifer Niven,4.7,2799.0,1256
Adultery (Hindi Edition),Paulo Coelho,3.3,9.0,668
The Fry Chronicles: An Autobiography,Stephen Fry,4.4,405.0,1093
It Happens for a Reason,Preeti Shenoy,4.3,553.0,668
The Dead Sea Scrolls,Gary A. Rendsburg,-1,,1171
The Feast of Roses,Indu Sundaresan,4.5,147.0,937
Deep Undercover: My Secret Life and Tangled Allegiances as a KGB Spy in America,Jack Barsky,4.6,315.0,820
Team Topologies: Organizing Business and Technology Teams for Fast Flow,Matthew Skelton,4.6,156.0,668
You Can't Teach a Kid to Ride a Bike at a Seminar: Sandler Training's 7-Step System for Successful Selling (2nd Edition),David Mattson - foreword,4.7,119.0,656
The Runaway Species: How Human Creativity Remakes the World,David Eagleman,4.3,111.0,797
The Origin and Evolution of Earth: From the Big Bang to the Future of Human Existence,Robert M. Hazen,-1,,1774
"The End of Mental Illness: How Neuroscience Is Transforming Psychiatry and Helping Prevent or Reverse Mood and Anxiety Disorders, ADHD, Addictions, PTSD, Psychosis, Personality Disorders, and More",Daniel G. Amen,4.7,505.0,1055
The Marshmallow Test: Mastering Self-Control,Walter Mischel,4.4,356.0,603
The End of Everything: (Astrophysically Speaking),Katie Mack,4.7,118.0,888
Devlok 2,Devdutt Pattanaik,4.3,96.0,879
Zen and the Art of Happiness,Chris Prentiss,4.5,649.0,233
The Acid House,Irvine Welsh,4.3,60.0,615
The Jungle Book: The Mowgli Stories,Rudyard Kipling,4.7,29.0,349
What Life Should Mean to You,Alfred Adler,4.4,29.0,516
Into Thin Air,Jon Krakauer,4.7,2955.0,569
The Jungle Book: The Mowgli Stories,Rudyard Kipling,4.7,29.0,349
What Life Should Mean to You,Alfred Adler,4.4,29.0,516
Into Thin Air,Jon Krakauer,4.7,2955.0,569
"The AMA Handbook of Project Management, Fifth Edition",Paul C. Dinsmore PMP - editor,4.2,7.0,820
Gilgamesh: A Novel,Joan London,4.2,51.0,1171
Admired: 21 Ways to Double Your Value,Mark C. Thompson,4.2,26.0,352
Alpha Male Strategies,AMS Alpha Male Strategies,4.8,224.0,501
Nothing Lasts Forever,Sidney Sheldon,4.4,393.0,1171
Maximize Your Potential Through the Power of Your Subconscious Mind to Overcome Fear and Worry,Dr. Joseph Murphy,4.5,54.0,938
Has China Won?: The Chinese Challenge to American Primacy,Kishore Mahbubani,4.6,110.0,500
Narrative Economics: How Stories Go Viral and Drive Major Economic Events,Robert J. Shiller,4.4,162.0,585
Fangirl,Rainbow Rowell,4.4,2635.0,323
Cinderella,Jacob Grimm,-1,,65
Leadership on the Line (Revised): Staying Alive Through the Dangers of Change,Ronald A. Heifetz,4.6,88.0,820
"Word Smart, Genius Edition: Building a Phenomenal Vocabulary",Julian Fleisher,4.0,7.0,753
El ejecutivo al minuto [The One Minute Manager],Kenneth Blanchard,-1,,0
"The Frequency: Fulfill All Your Wishes by Manifesting with Vibrations: Use the Law of Attraction and Amazing Manifestation Strategies to Attract the Life You Want, Book 1",Linda West,4.3,167.0,233
Casanova,Benedict Cumberbatch,4.1,14.0,569
"Cracking the Tech Career: Insider Advice on Landing a Job at Google, Microsoft, Apple, or any Top Tech Company",Gayle Laakman McDowell,4.0,69.0,668
The Born to Win Seminar,Zig Ziglar,4.6,417.0,2008
Decisive: How to Make Better Choices in Life and Work,Chip Heath,4.6,596.0,888
A Dog's Purpose: A novel for humans,W. Bruce Cameron,4.7,4559.0,323
Let My People Go Surfing: The Education of a Reluctant Businessman - Including 10 More Years of Business Unusual,Yvon Chouinard,4.7,777.0,879
Gould's Book of Fish,Richard Flanagan,3.7,106.0,1171
"Get Rich with Options: Four Winning Strategies Straight from the Exchange Floor, 2nd Edition",Lee Lowell,4.1,159.0,668
Ruskin Bond: The Essential Collection for Young Readers,Ruskin Bond,4.6,369.0,668
Uncommon Type: Some Stories,Tom Hanks,4.2,966.0,752
Café in Berlin: Learn German with Stories 1 - 10 Short Stories for Beginners,André Klein,4.7,947.0,132
The Secret Letters of the Monk Who Sold His Ferrari,Robin Sharma,4.6,357.0,586
The Passion Test: The Effortless Path to Discovering Your Destiny,Janet Attwood,4.3,230.0,585
Uprooted,Naomi Novik,4.6,2787.0,323
Good Omens: The BBC Radio 4 dramatisation,Terry Pratchett,4.7,6251.0,615
Hornblower and the Hotspur,C.S. Forester,4.7,242.0,748
"The Fifth Season: The Broken Earth, Book 1",N. K. Jemisin,4.4,2368.0,500
Apni Team ke Leaders ko Viksit Kaise Karen [How to Develop Your Team Leaders],John Maxwell,4.2,56.0,668
Transcendent Kingdom,Yaa Gyasi,4.3,39.0,888
Benjamin Franklin Ki Atmakatha (Hindi Edition),Benjamin Franklin,4.2,162.0,668
Other Colours,Orhan Pamuk,4.5,14.0,759
Alexander Hamilton,Ron Chernow,4.7,6471.0,1138
As a Man Thinketh: 21st Century Edition: The Wisdom of James Allen,Sam Torode,4.7,301.0,132
"The Essentials of Risk Management, Second Edition",Michel Crouhy,4.4,47.0,820
Rich Dad Poor Dad for Teens: The Secrets About Money - That You Don't Learn in School!,Robert T. Kiyosaki,4.4,445.0,469
"Jax: Protectors Series # 8,",Teresa Gabelman,4.8,349.0,586
"Astral Projection: Out-Of-Body Travel, Guided Meditation, Self Hypnosis, Binaural Beats",Erick Brown Hypnosis,-1,,656
"Chicken Soup for the Kid's Soul: Stories of Courage, Hope, and Laughter",Jack Canfield,4.7,127.0,280
The 48 Laws of Power,Robert Greene,-1,,773
Without Conscience: The Disturbing World of the Psychopaths Among Us,Robert D. Hare,4.6,26.0,820
Charlotte's Web,E. B. White,4.8,5004.0,754
War and Remembrance,Herman Wouk,4.8,765.0,1338
"Astral Projection: Out-Of-Body Travel, Guided Meditation, Self Hypnosis, Binaural Beats",Erick Brown Hypnosis,-1,,656
"Chicken Soup for the Kid's Soul: Stories of Courage, Hope, and Laughter",Jack Canfield,4.7,127.0,280
The 48 Laws of Power,Robert Greene,-1,,773
Without Conscience: The Disturbing World of the Psychopaths Among Us,Robert D. Hare,4.6,26.0,820
Charlotte's Web,E. B. White,4.8,5004.0,754
Story Genius: How to Use Brain Science to Go Beyond Outlining and Write a Riveting Novel (Before You Waste Three Years Writing 327 Pages That Go Nowhere),Lisa Cron,4.6,505.0,1005
The Future of Capitalism,Paul Collier,4.5,152.0,683
Thrawn (Star Wars),Timothy Zahn,4.7,2309.0,1256
Sula,Toni Morrison,4.5,782.0,753
Anahad Mein Bisram,OSHO,-1,,502
The Enchiridion & Discourses,Haward B. Morse,-1,,998
The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.6,1043.0,410
Letting Go: The Pathway of Surrender,David R. Hawkins MD. PHD.,4.7,2150.0,1172
The Art of War [Blackstone Version],Sun-Tzu,-1,,1003
A Study in Scarlet,Arthur Conan Doyle,4.4,668.0,65
The Girl Who Drank the Moon,Kelly Barnhill,4.7,3522.0,645
Mahanirvana Tantra,Arthur Valon,4.4,6.0,1102
Time Management: The Brian Tracy Success Library,Brian Tracy,4.6,159.0,351
A Woman First: First Woman: A Memoir,Selina Meyer,4.6,81.0,879
Why 'A' Students Work for 'C' Students and 'B' Students Work for the Government: Rich Dad's Guide to Financial Education for Parents,Robert T. Kiyosaki,4.2,62.0,1005
"Sacred Verses, Healing Sounds, Volumes I and II: The Bhagavad Gita and Hymns of the Rig Veda",Deepak Chopra,-1,,468
Homegoing,Yaa Gyasi,4.6,3266.0,820
"The Seven Principles for Making Marriage Work: A Practical Guide from the Country’s Foremost Relationship Expert, Revised and Updated",John M. Gottman PhD,-1,,703
Demigods and Magicians: Three Stories from the World of Percy Jackson and the Kane Chronicles,Rick Riordan,4.7,556.0,615
On Dublin Street,Samantha Young,4.5,2833.0,752
Mr & Mrs Jinnah (Hindi Edition),Sheela Reddy,3.6,6.0,836
Labyrinth,Kate Mosse,4.3,699.0,323
Money and Banking: What Everyone Should Know,Michael K. Salemi,-1,,1405
Courage and Conviction: An Autobiography,General V. K. Singh,4.5,95.0,1003
Forgiveness: How to Make Peace with Your Past and Get on with Your Life,Dr. Sidney B. Simon,4.5,97.0,1003
"The Classic Tales Podcast, Season Five",Agatha Christie,-1,,820
"Eat Real to Heal: Using Food as Medicine to Reverse Chronic Diseases from Diabetes, Arthritis, Cancer and More",Nicolette Richer,4.5,79.0,586
Aamool Kranti Ki Chunauti [Radical Revolution Is the Key Challenge],J. Krishnamurti,-1,,668
Murder in the City: Twelve Incredibe Case Files of the Kolkata Police,Supratim Sarkar,4.4,57.0,668
The One You Cannot Have,Preeti Shenoy,4.3,582.0,668
Damn Right: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger (Revised),Janet Lowe,4.4,69.0,703
Uncle Tom's Cabin (AmazonClassics Edition),Harriet Beecher Stowe,4.5,2388.0,1003
Mastering Stand-Up: The Complete Guide to Becoming a Successful Comedian,Stephen Rosenfield,4.7,173.0,586
Artemis Fowl and the Time Paradox,Eoin Colfer,4.7,566.0,888
The Complete Book of Five Rings,Miyamoto Musashi,4.9,144.0,668
Tipping Point (Hindi Edition): Chote Badlaavo Se Paayein Bade Parinaam,Malcolm Gladwell,-1,,668
My Name Is Red,Orhan Pamuk,4.3,360.0,1138
Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,4.6,377.0,752
Awaking Wonder: Opening Your Child's Heart to the Beauty of Learning,Sally Clarkson,5.0,209.0,586
A Concise History of Modern India,Barbara Metcalf,3.9,18.0,680
Sebastian and Sons: A Brief History of Mrdangam Makers,T.M. Krishna,4.3,49.0,836
"Loving Sound: Modern Kama Sutra Workshop, Part 1",Alexander Institute,-1,,116
A Concise History of Modern India,Barbara Metcalf,3.9,18.0,680
Sebastian and Sons: A Brief History of Mrdangam Makers,T.M. Krishna,4.3,49.0,836
"Loving Sound: Modern Kama Sutra Workshop, Part 1",Alexander Institute,-1,,116
The Coming of the Third Reich,Richard J. Evans,4.6,240.0,1338
The 5 Love Languages of Children: The Secret to Loving Children Effectively,Gary Chapman,4.8,2900.0,656
Artemis,Andy Weir,4.1,3087.0,1003
Ask Your Guides: How to Connect With Your Spiritual Support System,Sonia Choquette,-1,,1406
Little Vinayak,Shobha Viswanath,4.2,5.0,75
The Moment of Lift: How Empowering Women Changes the World,Melinda Gates,4.6,1641.0,323
Papillon,Henri Charriere,4.7,921.0,17301
The Hound of the Baskervilles,Arthur Conan Doyle,4.5,1632.0,668
In Xanadu,William Dalrymple,4.5,59.0,569
"The Manager's Guide to HR: Hiring, Firing, Performance Evaluations, Documentation, Benefits, and Everything Else You Need to Know, 2nd Edition",Max Muller,4.5,22.0,703
Sphere,Michael Crichton,4.3,587.0,1005
Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease - and How to Fight It,Benjamin Bikman PhD,4.8,133.0,773
House of Chains: The Malazan Book of the Fallen 4,Steven Erikson,4.6,445.0,1025
Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease - and How to Fight It,Benjamin Bikman PhD,4.8,133.0,773
House of Chains: The Malazan Book of the Fallen 4,Steven Erikson,4.6,445.0,1025
No: The Only Negotiating System You Need for Work and Home,Jim Camp,4.6,26.0,668
"The Stress Solution: The 4 Steps to Reset Your Body, Mind, Relationships and Purpose",Dr Rangan Chatterjee,4.7,546.0,615
Wild,Cheryl Strayed,4.4,13768.0,748
Magid Magid: Audible Sessions: Free Exclusive Interview,Holly Newson,-1,,0
"The Science Fiction Hall of Fame, Vol. 1, 1929-1964: The Greatest Science Fiction Stories of All Time Chosen by the Members of the Science Fiction Writers of America",Robert A. Heinlein,4.6,257.0,1054
"Change Your Questions, Change Your Life: 12 Powerful Tools for Leadership, Coaching, and Life",Marilee G. Adams PhD,4.4,236.0,668
How to Worry Less about Money: The School of Life,John Armstrong,4.3,61.0,323
The 48 Laws of Power (1ST),Robert Greene,-1,,1003
A Midsummer Night's Dream: Arkangel Shakespeare,William Shakespeare,4.5,1364.0,333
On Confidence,The School of Life,4.4,113.0,351
Winter of the World,Ken Follett,4.5,9615.0,323
Mysteries of Modern Physics: Time,Sean Carroll,-1,,1171
A Shaman’s Miraculous Tools for Healing,Alberto Villoldo,4.6,46.0,891
The Closing of the American Mind,Allan Bloom,4.3,225.0,773
The Storyteller's Secret: How TED Speakers and Inspirational Leaders Turn Their Passion into Performance,Carmine Gallo,4.4,182.0,323
City of Bones,Cassandra Clare,4.5,4440.0,937
Strategic Analytics: The Insights You Need from Harvard Business Review (HBR Insights Series),Harvard Business Review,4.2,3.0,351
"Second Chance: for Your Money, Your Life and Our World",Robert T. Kiyosaki,4.4,440.0,670
Blockchain: The Insights You Need from Harvard Business Review,Harvard Business Review,4.2,11.0,469
Classic Goosebumps: Stay Out of the Basement,R. L. Stine,4.7,173.0,351
"The Spider Network: The Wild Story of a Maths Genius, a Gang of Backstabbing Bankers, and One of the Greatest Scams in Financial History",David Enrich,4.4,287.0,683
The Coalition Years: 1996-2012,Pranab Mukherjee,4.1,104.0,668
Why Suffering?: Finding Meaning and Comfort When Life Doesn't Make Sense,Ravi Zacharias,4.7,289.0,500
Bulletproof Problem Solving: The One Skill That Changes Everything,Charles Conn,4.6,120.0,586
The Breadwinner,Deborah Ellis,4.7,436.0,450
The 8th Habit (Live),Stephen Covey,4.4,433.0,304
The Ultimate Dale Carnegie Library,Dale Carnegie Training,-1,,1774
The Confidence Code: The Science and Art of Self-Assurance - What Women Should Know,Katty Kay,4.4,538.0,10378
The Modern Intellectual Tradition: From Descartes to Derrida,Lawrence Cahoone,-1,,1405
"Thaumaturge: Spellmonger, Book 11",Terry Mancour,4.7,167.0,1675
"Thaumaturge: Spellmonger, Book 11",Terry Mancour,4.7,167.0,1675
The Giraffe and the Pelly and Me,Roald Dahl,4.7,433.0,615
Chicken Soup for the Soul: Think Positive: 101 Inspirational Stories About Counting Your Blessings and Having a Positive Attitude,Jack Canfield,4.6,336.0,836
HBR's 10 Must Reads on Negotiation: HBR's 10 Must Reads Series,Harvard Business Review,4.4,26.0,586
The New Life,Orhan Pamuk,3.9,19.0,759
Big Data: How Data Analytics Is Transforming the World,Tim Chartier,-1,,1171
"Preventive Medicine: The Rational Male, Book 2",Rollo Tomassi,4.8,476.0,668
The Rise of Superman: Decoding the Science of Ultimate Human Performance,Steven Kotler,4.4,546.0,603
"Masters of Greek Thought: Plato, Socrates, and Aristotle",Robert C. Bartlett,3.0,1.0,1405
Before You Know It: The Unconscious Reasons We Do What We Do,John Bargh,4.3,74.0,752
The Wisdom Codes: Ancient Words to Rewire Our Brains and Heal Our Hearts,Gregg Braden,4.6,501.0,586
Hitler: A Biography,Ian Kershaw,4.5,271.0,1138
The Paradox of Choice: Why More is Less,Barry Schwartz,4.2,462.0,735
The Voice of Knowledge: A Practical Guide to Inner Peace,Don Miguel Ruiz,4.8,724.0,445
The Jewish Audio Bible,Rabbi Chaim Miller (translator),-1,,603
Driven by Eternity: Make Your Life Count Today & Forever,John Bevere,4.7,488.0,539
The Voice of Knowledge: A Practical Guide to Inner Peace,Don Miguel Ruiz,4.8,724.0,445
The Jewish Audio Bible,Rabbi Chaim Miller (translator),-1,,603
Driven by Eternity: Make Your Life Count Today & Forever,John Bevere,4.7,488.0,539
Anthem,Ayn Rand,4.4,126.0,773
Murder on the Orient Express (Dramatised),Agatha Christie,4.7,47.0,615
To the Lighthouse,Virginia Woolf,4.2,868.0,668
Dara Shukoh: The Man Who Would Be King,Avik Chanda,4.6,52.0,836
The Candlestick Course,Steve Nison,4.6,199.0,586
Spark Joy,Marie Kondo,4.7,2943.0,615
How to Win at College: Surprising Secrets for Success from the Country's Top Students,Cal Newport,4.5,197.0,469
"Dealing with the Devil: My Mother, Trump, and Me",Tony Schwartz,-1,,1003
How to Hear From God: Learn to Know His Voice and Make Right Decisions,Joyce Meyer,4.7,309.0,469
